Other viral conjunctivitis,B30
"Viral conjunctivitis, unspecified",B30
Epidemic myalgia,B33
Ross River disease,B33
"Viral carditis, unspecified",B33
Viral endocarditis,B33
Viral myocarditis,B33
Viral pericarditis,B33
Viral cardiomyopathy,B33
"Retrovirus infections, not elsewhere classified",B33
Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],B33
Other specified viral diseases,B33
"Adenovirus infection, unspecified",B34
"Enterovirus infection, unspecified",B34
"Coronavirus infection, unspecified",B34
"Parvovirus infection, unspecified",B34
"Papovavirus infection, unspecified",B34
Other viral infections of unspecified site,B34
"Viral infection, unspecified",B34
Tinea barbae and tinea capitis,B35
Tinea unguium,B35
Tinea manuum,B35
Tinea pedis,B35
Tinea corporis,B35
Tinea imbricata,B35
Tinea cruris,B35
Other dermatophytoses,B35
"Dermatophytosis, unspecified",B35
Pityriasis versicolor,B36
Tinea nigra,B36
White piedra,B36
Black piedra,B36
Other specified superficial mycoses,B36
"Superficial mycosis, unspecified",B36
Candidal stomatitis,B37
Pulmonary candidiasis,B37
Candidiasis of skin and nail,B37
Candidiasis of vulva and vagina,B37
Candidal cystitis and urethritis,B37
Candidal balanitis,B37
Other urogenital candidiasis,B37
Candidal meningitis,B37
Candidal endocarditis,B37
Candidal sepsis,B37
Candidal esophagitis,B37
Candidal enteritis,B37
Candidal cheilitis,B37
Candidal otitis externa,B37
Other sites of candidiasis,B37
"Candidiasis, unspecified",B37
Acute pulmonary coccidioidomycosis,B38
Chronic pulmonary coccidioidomycosis,B38
"Pulmonary coccidioidomycosis, unspecified",B38
Cutaneous coccidioidomycosis,B38
Coccidioidomycosis meningitis,B38
Disseminated coccidioidomycosis,B38
Prostatic coccidioidomycosis,B38
Other forms of coccidioidomycosis,B38
"Coccidioidomycosis, unspecified",B38
Acute pulmonary histoplasmosis capsulati,B39
Chronic pulmonary histoplasmosis capsulati,B39
"Pulmonary histoplasmosis capsulati, unspecified",B39
Disseminated histoplasmosis capsulati,B39
"Histoplasmosis capsulati, unspecified",B39
Histoplasmosis duboisii,B39
"Histoplasmosis, unspecified",B39
Acute pulmonary blastomycosis,B40
Chronic pulmonary blastomycosis,B40
"Pulmonary blastomycosis, unspecified",B40
Cutaneous blastomycosis,B40
Disseminated blastomycosis,B40
Blastomycotic meningoencephalitis,B40
Other forms of blastomycosis,B40
"Blastomycosis, unspecified",B40
Pulmonary paracoccidioidomycosis,B41
Disseminated paracoccidioidomycosis,B41
Other forms of paracoccidioidomycosis,B41
"Paracoccidioidomycosis, unspecified",B41
Pulmonary sporotrichosis,B42
Lymphocutaneous sporotrichosis,B42
Disseminated sporotrichosis,B42
Cerebral sporotrichosis,B42
Sporotrichosis arthritis,B42
Other forms of sporotrichosis,B42
"Sporotrichosis, unspecified",B42
Cutaneous chromomycosis,B43
Pheomycotic brain abscess,B43
Subcutaneous pheomycotic abscess and cyst,B43
Other forms of chromomycosis,B43
"Chromomycosis, unspecified",B43
